agent,trial,episode,cumulativeReward,averageReward,cumulativeSteps,numSteps
R-MAXQ,7,1,-946.0,-1.8507462686567164,634.0,134.0
R-MAXQ,7,2,-1116.0,-1.5454545454545454,744.0,110.0
R-MAXQ,7,3,-1253.0,-0.9785714285714285,884.0,140.0
R-MAXQ,7,4,-1268.0,-0.8333333333333334,902.0,18.0
R-MAXQ,7,5,-1609.0,-2.2,1057.0,155.0
R-MAXQ,7,6,-2532.0,-1.846,1557.0,500.0
R-MAXQ,7,7,-2862.0,-1.4102564102564104,1791.0,234.0
R-MAXQ,7,8,-2898.0,-3.0,1803.0,12.0
R-MAXQ,7,9,-2883.0,2.5,1809.0,6.0
R-MAXQ,7,10,-2868.0,2.5,1815.0,6.0
R-MAXQ,7,11,-3117.0,-1.6274509803921569,1968.0,153.0
R-MAXQ,7,12,-3180.0,-2.1,1998.0,30.0
R-MAXQ,7,13,-3163.0,4.25,2002.0,4.0
R-MAXQ,7,14,-3147.0,3.2,2007.0,5.0
R-MAXQ,7,15,-3148.0,-0.07692307692307693,2020.0,13.0
R-MAXQ,7,16,-3131.0,4.25,2024.0,4.0
R-MAXQ,7,17,-3114.0,4.25,2028.0,4.0
R-MAXQ,7,18,-3097.0,4.25,2032.0,4.0
R-MAXQ,7,19,-3080.0,4.25,2036.0,4.0
R-MAXQ,7,20,-3063.0,4.25,2040.0,4.0
R-MAXQ,7,21,-3046.0,4.25,2044.0,4.0
R-MAXQ,7,22,-3032.0,2.0,2051.0,7.0
R-MAXQ,7,23,-3015.0,4.25,2055.0,4.0
R-MAXQ,7,24,-2998.0,4.25,2059.0,4.0
R-MAXQ,7,25,-2981.0,4.25,2063.0,4.0
R-MAXQ,7,26,-2964.0,4.25,2067.0,4.0
R-MAXQ,7,27,-2947.0,4.25,2071.0,4.0
R-MAXQ,7,28,-2931.0,3.2,2076.0,5.0
R-MAXQ,7,29,-2915.0,3.2,2081.0,5.0
R-MAXQ,8,0,-248.0,-1.3191489361702127,188.0,188.0
R-MAXQ,8,1,-479.0,-1.711111111111111,323.0,135.0
R-MAXQ,8,2,-917.0,-1.9466666666666668,548.0,225.0
R-MAXQ,8,3,-1005.0,-3.142857142857143,576.0,28.0
R-MAXQ,8,4,-1010.0,-0.29411764705882354,593.0,17.0
R-MAXQ,8,5,-1016.0,-0.2222222222222222,620.0,27.0
R-MAXQ,8,6,-1562.0,-1.378787878787879,1016.0,396.0
R-MAXQ,8,7,-1568.0,-0.6666666666666666,1025.0,9.0
R-MAXQ,8,8,-1819.0,-1.200956937799043,1234.0,209.0
R-MAXQ,8,9,-1975.0,-4.7272727272727275,1267.0,33.0
R-MAXQ,8,10,-1959.0,3.2,1272.0,5.0
R-MAXQ,8,11,-1942.0,4.25,1276.0,4.0
R-MAXQ,8,12,-2666.0,-2.022346368715084,1634.0,358.0
R-MAXQ,8,13,-2649.0,4.25,1638.0,4.0
R-MAXQ,8,14,-2995.0,-2.1625,1798.0,160.0
R-MAXQ,8,15,-3034.0,-2.6,1813.0,15.0
R-MAXQ,8,16,-3017.0,4.25,1817.0,4.0
R-MAXQ,8,17,-3000.0,4.25,1821.0,4.0
R-MAXQ,8,18,-2983.0,4.25,1825.0,4.0
R-MAXQ,8,19,-2966.0,4.25,1829.0,4.0
R-MAXQ,8,20,-2949.0,4.25,1833.0,4.0
R-MAXQ,8,21,-2932.0,4.25,1837.0,4.0
R-MAXQ,8,22,-2918.0,2.0,1844.0,7.0
R-MAXQ,8,23,-2901.0,4.25,1848.0,4.0
R-MAXQ,8,24,-2887.0,2.0,1855.0,7.0
R-MAXQ,8,25,-2870.0,4.25,1859.0,4.0
R-MAXQ,8,26,-3223.0,-1.5972850678733033,2080.0,221.0
R-MAXQ,8,27,-3206.0,4.25,2084.0,4.0
R-MAXQ,8,28,-3263.0,-0.8260869565217391,2153.0,69.0
R-MAXQ,8,29,-3246.0,4.25,2157.0,4.0
R-MAXQ,9,0,-842.0,-1.684,500.0,500.0
R-MAXQ,9,1,-1034.0,-1.6842105263157894,614.0,114.0
R-MAXQ,9,2,-1124.0,-4.285714285714286,635.0,21.0
R-MAXQ,9,3,-1909.0,-1.6286307053941909,1117.0,482.0
R-MAXQ,9,4,-2374.0,-1.9871794871794872,1351.0,234.0
R-MAXQ,9,5,-2399.0,-2.5,1361.0,10.0
R-MAXQ,9,6,-2550.0,-1.385321100917431,1470.0,109.0
R-MAXQ,9,7,-3089.0,-1.488950276243094,1832.0,362.0
R-MAXQ,9,8,-3327.0,-1.3370786516853932,2010.0,178.0
R-MAXQ,9,9,-3357.0,-2.0,2025.0,15.0
R-MAXQ,9,10,-3516.0,-1.606060606060606,2124.0,99.0
R-MAXQ,9,11,-3539.0,-2.875,2132.0,8.0
R-MAXQ,9,12,-3735.0,-1.2727272727272727,2286.0,154.0
R-MAXQ,9,13,-3719.0,3.2,2291.0,5.0
R-MAXQ,9,14,-3796.0,-2.9615384615384617,2317.0,26.0
R-MAXQ,9,15,-3779.0,4.25,2321.0,4.0
R-MAXQ,9,16,-3762.0,4.25,2325.0,4.0
R-MAXQ,9,17,-3746.0,3.2,2330.0,5.0
R-MAXQ,9,18,-3730.0,3.2,2335.0,5.0
R-MAXQ,9,19,-3715.0,2.5,2341.0,6.0
R-MAXQ,9,20,-3698.0,4.25,2345.0,4.0
R-MAXQ,9,21,-3681.0,4.25,2349.0,4.0
R-MAXQ,9,22,-3664.0,4.25,2353.0,4.0
R-MAXQ,9,23,-3724.0,-0.7407407407407407,2434.0,81.0
R-MAXQ,9,24,-3878.0,-1.4951456310679612,2537.0,103.0
R-MAXQ,9,25,-3863.0,2.5,2543.0,6.0
R-MAXQ,9,26,-3846.0,4.25,2547.0,4.0
R-MAXQ,9,27,-3829.0,4.25,2551.0,4.0
R-MAXQ,9,28,-3813.0,3.2,2556.0,5.0
R-MAXQ,9,29,-3797.0,3.2,2561.0,5.0
R-AMDP,0,0,-212.0,-0.9098712446351931,233.0,233.0
R-AMDP,0,1,-739.0,-1.054,733.0,500.0
R-AMDP,0,2,-1275.0,-1.072,1233.0,500.0
R-AMDP,0,3,-1314.0,-0.7647058823529411,1284.0,51.0
R-AMDP,0,4,-1638.0,-0.9908256880733946,1611.0,327.0
R-AMDP,0,5,-1801.0,-0.9314285714285714,1786.0,175.0
R-AMDP,0,6,-1785.0,3.2,1791.0,5.0
R-AMDP,0,7,-1964.0,-0.9835164835164835,1973.0,182.0
R-AMDP,0,8,-2046.0,-0.8723404255319149,2067.0,94.0
R-AMDP,0,9,-2039.0,0.5,2081.0,14.0
R-AMDP,0,10,-2566.0,-1.054,2581.0,500.0
R-AMDP,0,11,-2558.0,0.6153846153846154,2594.0,13.0
R-AMDP,0,12,-2590.0,-1.2307692307692308,2620.0,26.0
R-AMDP,0,13,-2573.0,4.25,2624.0,4.0
R-AMDP,0,14,-2558.0,2.5,2630.0,6.0
R-AMDP,0,15,-2541.0,4.25,2634.0,4.0
R-AMDP,0,16,-2524.0,4.25,2638.0,4.0
R-AMDP,0,17,-2514.0,0.9090909090909091,2649.0,11.0
R-AMDP,0,18,-2565.0,-0.8095238095238095,2712.0,63.0
R-AMDP,0,19,-2548.0,4.25,2716.0,4.0
R-AMDP,0,20,-2532.0,3.2,2721.0,5.0
R-AMDP,0,21,-2515.0,4.25,2725.0,4.0
R-AMDP,0,22,-2498.0,4.25,2729.0,4.0
R-AMDP,0,23,-2481.0,4.25,2733.0,4.0
R-AMDP,0,24,-2464.0,4.25,2737.0,4.0
R-AMDP,0,25,-2448.0,3.2,2742.0,5.0
R-AMDP,0,26,-2432.0,3.2,2747.0,5.0
R-AMDP,0,27,-2416.0,3.2,2752.0,5.0
R-AMDP,0,28,-2447.0,-0.5961538461538461,2804.0,52.0
R-AMDP,0,29,-2432.0,2.5,2810.0,6.0
R-AMDP,1,0,-527.0,-1.054,500.0,500.0
R-AMDP,1,1,-1054.0,-1.054,1000.0,500.0
R-AMDP,1,2,-1192.0,-0.9787234042553191,1141.0,141.0
R-AMDP,1,3,-1226.0,-0.7391304347826086,1187.0,46.0
R-AMDP,1,4,-1321.0,-0.8189655172413793,1303.0,116.0
R-AMDP,1,5,-1884.0,-1.126,1803.0,500.0
R-AMDP,1,6,-2245.0,-1.0712166172106825,2140.0,337.0
R-AMDP,1,7,-2651.0,-1.0628272251308901,2522.0,382.0
R-AMDP,1,8,-2638.0,1.625,2530.0,8.0
R-AMDP,1,9,-2687.0,-1.96,2555.0,25.0
R-AMDP,1,10,-2672.0,2.5,2561.0,6.0
R-AMDP,1,11,-2656.0,3.2,2566.0,5.0
R-AMDP,1,12,-2655.0,0.05,2586.0,20.0
R-AMDP,1,13,-2640.0,2.5,2592.0,6.0
R-AMDP,1,14,-2624.0,3.2,2597.0,5.0
R-AMDP,1,15,-2608.0,3.2,2602.0,5.0
R-AMDP,1,16,-2593.0,2.5,2608.0,6.0
R-AMDP,1,17,-2577.0,3.2,2613.0,5.0
R-AMDP,1,18,-2560.0,4.25,2617.0,4.0
R-AMDP,1,19,-2839.0,-0.9587628865979382,2908.0,291.0
R-AMDP,1,20,-2822.0,4.25,2912.0,4.0
R-AMDP,1,21,-2805.0,4.25,2916.0,4.0
R-AMDP,1,22,-2788.0,4.25,2920.0,4.0
R-AMDP,1,23,-2771.0,4.25,2924.0,4.0
R-AMDP,1,24,-2755.0,3.2,2929.0,5.0
R-AMDP,1,25,-2738.0,4.25,2933.0,4.0
R-AMDP,1,26,-2721.0,4.25,2937.0,4.0
R-AMDP,1,27,-2704.0,4.25,2941.0,4.0
R-AMDP,1,28,-2687.0,4.25,2945.0,4.0
R-AMDP,1,29,-2672.0,2.5,2951.0,6.0
R-AMDP,2,0,-527.0,-1.054,500.0,500.0
R-AMDP,2,1,-724.0,-0.985,700.0,200.0
R-AMDP,2,2,-1251.0,-1.054,1200.0,500.0
R-AMDP,2,3,-1304.0,-0.7162162162162162,1274.0,74.0
R-AMDP,2,4,-1481.0,-1.0925925925925926,1436.0,162.0
R-AMDP,2,5,-1758.0,-0.9584775086505191,1725.0,289.0
R-AMDP,2,6,-1924.0,-0.9822485207100592,1894.0,169.0
R-AMDP,2,7,-2170.0,-1.1081081081081081,2116.0,222.0
R-AMDP,2,8,-2159.0,1.1,2126.0,10.0
R-AMDP,2,9,-2145.0,2.0,2133.0,7.0
R-AMDP,2,10,-2129.0,3.2,2138.0,5.0
R-AMDP,2,11,-2124.0,0.7142857142857143,2145.0,7.0
R-AMDP,2,12,-2108.0,3.2,2150.0,5.0
R-AMDP,2,13,-2091.0,4.25,2154.0,4.0
R-AMDP,2,14,-2077.0,2.0,2161.0,7.0
R-AMDP,2,15,-2064.0,1.625,2169.0,8.0
R-AMDP,2,16,-2047.0,4.25,2173.0,4.0
R-AMDP,2,17,-2255.0,-0.9454545454545454,2393.0,220.0
R-AMDP,2,18,-2238.0,4.25,2397.0,4.0
R-AMDP,2,19,-2409.0,-0.9344262295081968,2580.0,183.0
R-AMDP,2,20,-2392.0,4.25,2584.0,4.0
R-AMDP,2,21,-2378.0,2.0,2591.0,7.0
R-AMDP,2,22,-2361.0,4.25,2595.0,4.0
R-AMDP,2,23,-2345.0,3.2,2600.0,5.0
